id,numero,date_debut,date_signature,date_fin,statut,departement,chemin_fichier,niveau_gravite_specifique_aep,ressource_aep_communique,regle_gestion,arrete_cadre.id,arrete_cadre.numero,arrete_cadre.date_debut,arrete_cadre.date_fin,arrete_cadre.chemin_fichier,zones_alerte.id,zones_alerte.type,zones_alerte.code,zones_alerte.nom,zones_alerte.niveau_gravite,zones_alerte.id_sandre,zones_alerte.communes
20927,2010/DDEA/SEPR/195,2010-05-01,2010-04-30,2011-02-28,abroge,77,,null,null,undefined,,,,,,,,,,,,
20894,2010-DDEA–SE–132,2010-05-05,2010-05-04,2011-03-01,abroge,91,,null,null,undefined,,,,,,,,,,,,
20881,2010-1491,2010-06-24,2010-06-23,2010-10-03,abroge,17,,null,null,undefined,,,,,,,,,,,,
20916,10-4175,2010-07-20,2010-07-19,2010-07-26,abroge,72,,null,null,undefined,21316,10-2416,2010-04-06,,,,,,,,,
20880,10-2016,2010-07-26,2010-07-23,2010-10-03,abroge,17,,null,null,undefined,,,,,,,,,,,,
20917,10-4283,2010-07-27,2010-07-26,2010-10-15,abroge,72,,null,null,undefined,21316,10-2416,2010-04-06,,,,,,,,,
20875,2354,2010-07-31,2010-07-30,2010-10-31,abroge,52,,null,null,undefined,,,,,,,,,,,,
20896,DDT/SEEF 2010-362,2010-08-01,2010-07-30,2010-09-30,abroge,73,,null,null,undefined,,,,,,,,,,,,
20870,2010000254,2010-08-04,2010-08-01,2010-09-04,abroge,87,,null,null,undefined,,,,,,,,,,,,
20871,2010-215-0006,2010-08-04,2010-08-03,2010-08-17,abroge,48,,null,null,undefined,,,,,,,,,,,,
20895,2010-DDT–SE–1007,2010-08-04,2010-08-03,2010-10-15,abroge,91,,null,null,undefined,,,,,,,,,,,,
20874,2010-5088,2010-08-05,2010-08-04,2010-12-31,abroge,69,,null,null,undefined,,,,,,,,,,,,
20910,2010-1,2010-08-06,2010-08-05,2010-10-31,abroge,56,,null,null,undefined,,,,,,,,,,,,
20907,2010-9029,2010-08-11,2010-08-10,2010-11-30,abroge,95,,null,null,undefined,21186,2010-8987,2010-06-29,2013-06-01,,,,,,,,
20872,2010-229-0005,2010-08-18,2010-08-17,2010-11-18,abroge,48,,null,null,undefined,,,,,,,,,,,,
20885,2010-020-64,2010-08-18,2010-08-13,2010-09-30,abroge,64,,null,null,undefined,,,,,,,,,,,,
20905,2010-020-64,2010-08-20,2010-08-13,2010-09-30,abroge,64,,null,null,undefined,,,,,,,,,,,,
20884,2010-020-64,2010-08-20,2010-08-14,2010-09-30,abroge,64,,null,null,undefined,,,,,,,,,,,,
20878,33-2010-23,2010-09-11,2010-09-10,2010-10-31,abroge,33,,null,null,undefined,,,,,,,,,,,,
20876,2010-264-14,2010-09-22,2010-09-21,2010-10-30,abroge,32,,null,null,undefined,21289,2004-07-06_Midouze,2004-07-06,,,,,,,,,
20883,56,2010-10-26,2010-10-19,2010-10-30,abroge,13,,null,null,undefined,,,,,,,,,,,,
20882,55,2010-10-26,2010-10-19,2010-10-30,abroge,13,,null,null,undefined,,,,,,,,,,,,
20887,test 1,2010-11-02,2010-11-01,2010-11-30,abroge,29,,null,null,undefined,,,,,,,,,,,,
20913,2010-501,2010-12-01,2010-11-30,2010-12-15,abroge,39,,null,null,undefined,,,,,,,,,,,,
20929,2011/DDT/SEPR/057,2011-03-01,2011-02-25,2011-04-30,abroge,77,,null,null,undefined,,,,,,,,,,,,
21636,2011178-0001,2011-04-01,2011-03-25,2011-04-30,abroge,19,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21636/ap_interdiction_vidange_raa_2011_03_25.pdf,null,null,undefined,,,,,,,,,,,,
20937,2011098-0010,2011-04-10,2011-04-08,2011-05-10,abroge,16,,null,null,undefined,,,,,,,,,,,,
20938,2011098-0009,2011-04-10,2011-04-08,2011-05-18,abroge,16,,null,null,undefined,,,,,,,,,,,,
22229,DDT-SEB-222,2011-04-11,2011-04-07,2011-06-12,abroge,86,,null,null,undefined,,,,,,,,,,,,
