code_dept,niveau_text,niveau_int,n_arretes
01,alerte_renforcee,3,1
02,alerte,2,5
04,alerte_renforcee,3,1
05,alerte_renforcee,3,3
06,crise,4,1
07,alerte_renforcee,3,1
08,alerte_renforcee,3,3
10,alerte,2,2
11,alerte_renforcee,3,2
12,alerte_renforcee,3,1
13,crise,4,1
14,alerte,2,1
15,crise,4,1
16,crise,4,5
17,alerte_renforcee,3,2
18,crise,4,1
19,vigilance,1,1
21,alerte_renforcee,3,1
22,vigilance,1,2
23,alerte,2,1
24,crise,4,2
25,alerte_renforcee,3,4
26,alerte_renforcee,3,4
28,crise,4,1
29,vigilance,1,1
2A,alerte,2,1
2B,alerte_renforcee,3,1
30,alerte_renforcee,3,1
31,crise,4,1
32,crise,4,4
33,alerte_renforcee,3,1
34,alerte_renforcee,3,1
35,alerte,2,1
36,crise,4,1
37,crise,4,3
38,alerte_renforcee,3,4
39,alerte_renforcee,3,1
40,crise,4,7
41,alerte_renforcee,3,1
42,alerte_renforcee,3,1
43,alerte,2,1
44,crise,4,2
45,crise,4,2
46,crise,4,1
47,crise,4,1
48,alerte_renforcee,3,1
49,crise,4,1
50,alerte,2,1
51,alerte,2,1
53,alerte_renforcee,3,1
54,alerte,2,3
55,alerte,2,1
56,crise,4,2
57,alerte,2,4
58,alerte,2,1
59,alerte_renforcee,3,2
61,vigilance,1,1
62,alerte,2,2
64,crise,4,10
65,crise,4,2
66,alerte_renforcee,3,1
67,vigilance,1,2
68,alerte_renforcee,3,6
69,alerte_renforcee,3,3
70,alerte_renforcee,3,2
71,vigilance,1,2
72,crise,4,1
73,alerte_renforcee,3,1
74,alerte,2,9
76,vigilance,1,2
78,vigilance,1,1
79,crise,4,24
80,vigilance,1,1
81,crise,4,8
82,crise,4,1
83,crise,4,6
84,alerte_renforcee,3,3
85,crise,4,3
86,crise,4,7
87,vigilance,1,1
88,alerte_renforcee,3,4
89,alerte,2,1
90,alerte,2,1
91,alerte,2,2
94,vigilance,1,1
95,alerte,2,1
