zone_id,zone_nom,code_dept,niveau_text,niveau_int,communes,n_communes
8788,Saône Aval,01,alerte,2,[],1
8789,Rivières de Bresse,01,alerte,2,[],1
8790,Rivières du Bugey,01,alerte,2,[],1
8791,Rivières de Dombes,01,alerte,2,[],1
8792,Rivières du Haut-Rhône,01,alerte,2,[],1
9368,Saône Aval,01,alerte,2,[],1
9370,Plaine de l'Ain,01,alerte,2,[],1
9371,Dombes - Certines - Nord,01,vigilance,1,[],1
9372,Dombes - Sud,01,alerte_renforcee,3,[],1
10093,bassin du Petit Morin,02,alerte,2,,0
10097,bassin de l'Oise Moyenne et Ailette,02,vigilance,1,,0
10102,bassin de l'Escaut,02,vigilance,1,,0
8296,Bassin versant de l'Asse,04,alerte,2,[],1
8297,Bassin versant de la Bleone,04,vigilance,1,[],1
8298,Bassin versant du Colostre,04,alerte,2,[],1
8299,Bassin versant du Jabron,04,vigilance,1,[],1
8300,Bassin versant du Largue,04,alerte_renforcee,3,[],1
8301,Bassin versant du Lauzon,04,alerte,2,[],1
8302,Bassin versant du Sasse,04,vigilance,1,[],1
8303,Bassin versant du Vancon,04,vigilance,1,[],1
8304,Bassin versant de l'Ubaye,04,vigilance,1,[],1
8305,Bassin versant du Verdon amont,04,vigilance,1,[],1
8306,Bassin versant du Var (partie dpt Alpes-de-Haute-Provence),04,alerte,2,[],1
8307,Bassin versant de la Blanche,04,vigilance,1,[],1
8308,Bassin versant du Calavon (partie dpt Alpes-de-Haute-Provence),04,alerte_renforcee,3,[],1
8309,Bassin versant de la Nesque (partie dpt Alpes-de-Haute-Provence),04,alerte_renforcee,3,[],1
8310,Bassin versant du Buech (partie dpt Alpes-de-Haute-Provence),04,alerte_renforcee,3,[],1
8311,Bassin versant de l'Artuby (partie dpt Alpes-de-Haute-Provence),04,alerte_renforcee,3,[],1
8312,Bassin versant du Verdon aval,04,vigilance,1,[],1
8313,Bassin versant de la Durance,04,vigilance,1,[],1
8920,Bassin du Drac-Gapençais,05,alerte,2,[],1
8921,Bassin du Buëch partie du 05,05,alerte_renforcee,3,[],1
8922,Bassin Méouge partie 05,05,alerte_renforcee,3,[],1
8924,Bassin Moyenne Durance Amont partie 05,05,alerte,2,[],1
8925,Bassin de la Haute-Durance,05,alerte,2,[],1
8926,Bassin Souloise-Séveraisse,05,vigilance,1,[],1
8927,Bassin Haute-Romanche,05,vigilance,1,[],1
8316,"Zone Aygues et Oule (Aygues, partie dpt Hautes-Alpes)",05,alerte,2,,0
8923,Bassin E(A)ygues partie 05,05,alerte_renforcee,3,,0
8318,Zone 1 : Artuby (partie dpt Alpes-Maritimes),06,crise,4,[],1
8319,Zone 2 : Siagne amont (partie dpt Alpes-Martiimes),06,alerte_renforcee,3,[],1
8320,Zone 3 : Siagne aval (partie dpt Alpes-Maritimes),06,vigilance,1,[],1
8321,Zone 4 : Loup et Cagne,06,alerte_renforcee,3,[],1
8322,Zone 5 : la Brague,06,crise,4,[],1
