method,mean,median,std,min,max,sat_low_pct,sat_high_pct
Brest | Fisk SPEI-12,-0.14553664981877518,0.1464701592591335,1.0360101956497825,-4.753424308822899,1.436666394588053,2.636916835699797,0.0
Brest | ECDF SPEI-12,0.02151003433873636,-0.0417892978164538,0.915359102334781,-2.1280452341849845,2.141198120972019,0.0,0.0
Brest | Pearson3 SPEI-12,-0.030799918657418938,0.050265834119307656,0.9925078294667574,-2.452598760657215,2.5257354286934204,0.0,0.0
Paris | Fisk SPEI-12,-0.21957522619777922,0.10719690463246338,1.0818464491628352,-4.753424308822899,1.183740194493351,3.0425963488843815,0.0
Paris | ECDF SPEI-12,-0.05055613647803683,-0.08094729048129604,0.892692242947798,-2.1280452341849845,2.141198120972019,0.0,0.0
Paris | Pearson3 SPEI-12,-0.10632374995700579,-0.026945542111637973,0.972410643102277,-2.4487895492409084,2.2800386655566105,0.0,0.0
Strasbourg | Fisk SPEI-12,-0.4173427229636731,-0.10515304643903098,1.2911637370634201,-4.753424308822899,1.1855756154057948,5.476673427991886,0.0
Strasbourg | ECDF SPEI-12,-0.18682125471817024,-0.2104283942479247,0.9689292685842686,-2.1280452341849845,2.141198120972019,0.0,0.0
Strasbourg | Pearson3 SPEI-12,-0.26791006406685847,-0.3050515699142001,1.067706326294611,-3.7190164854556804,2.261661878035515,0.4056795131845842,0.0
Lyon | Fisk SPEI-12,-0.4206962968235615,-0.0010096215466242045,1.3533881904515213,-4.753424308822899,1.4370605073312164,5.679513184584178,0.0
Lyon | ECDF SPEI-12,-0.1540249237384216,-0.12566134685507402,0.9887324970243359,-2.1280452341849845,2.141198120972019,0.0,0.0
Lyon | Pearson3 SPEI-12,-0.28470758343272373,-0.11492677497085098,1.2183851186241494,-3.7190164854556804,2.5730141641071897,3.2454361054766734,0.0
Marseille | Fisk SPEI-12,-0.13710003184559552,0.15251838708297918,1.0437746053848034,-4.753424308822899,1.3967158448053278,2.839756592292089,0.0
Marseille | ECDF SPEI-12,0.05736957991520747,-0.0417892978164538,0.9460358421202109,-2.1411981209720183,2.141198120972019,0.0,0.0
Marseille | Pearson3 SPEI-12,0.0185863638410048,-0.05673970881616663,1.103010785262626,-2.6979242379348727,3.7190164854557084,0.0,1.0141987829614605
